-42.71,-41.43,0.94
-42.67,-41.44,0.82
-42.96,-41.6,0.67
-42.53,-41.41,0.72
-42.36,-41.14,0.83
-41.7,-40.65,0.71
-42.27,-41.04,0.92
-43.11,-41.7,0.91
-42.99,-41.61,0.78
-42.88,-41.47,0.92
-42.87,-41.52,0.6
-41.88,-40.8,0.64
-42.14,-41.06,0.68
-43.26,-41.78,0.65
-42.76,-41.37,0.77
-42.37,-41.12,0.92
-43.26,-41.67,0.6
-42.49,-41.32,0.93
-42.45,-41.19,0.94
-45.53,-43.49,0.96
-42.71,-41.43,0.94
-42.25204982,-41.60043456,0.69582397
-42.22465129,-41.6378817,0.86912339
-42.48699555,-41.74129146,0.93772355
-41.9468106,-41.47709359,1.04259026
-42.83930723,-42.02106826,0.96953395
-42.2290283,-41.55032669,0.82011782
-42.11265132,-41.49829965,0.82382382
-42.03535808,-41.545596,1.03588696
-42.34242801,-41.84351411,1.02512139
-42.35311717,-41.68544266,1.0040226
-42.17675129,-42.17675129,0.738741
-44.93309746,-43.81620227,0.94306698
-44.93075663,-43.82899096,0.97991069
-42.00326643,-41.53108845,1.04534079
-42.03101818,-41.55325797,1.04478494
-42.35156596,-41.65596391,1.00697801
-42.23937117,-41.57263051,1.01031381
-42.34894352,-41.75291494,1.00489734
-42.56207939,-41.84126412,0.80495397
-42.21974416,-41.67112034,0.99268659
-41.98362499,-41.62201451,0.7103065589
-41.63606717,-41.31946207,0.6633267917
-41.62853254,-41.30832096,0.6611524076
-41.92539206,-41.57847494,0.7334086579
-41.40872965,-41.16973041,0.7604639762
-42.12738684,-41.57105616,0.9172197063
-41.7807945,-41.42718498,0.6800108846
-45.23770998,-44.02496773,0.9770306823
-41.70491784,-41.39247145,0.7253247053
-42.0466524,-41.63860344,0.8351842549
-42.12738684,-41.57105616,0.9172197063
-41.7807945,-41.42718498,0.6800108846
-45.23770998,-44.02496773,0.9770306823
-41.70491784,-41.39247145,0.7253247053
-42.0466524,-41.63860344,0.8351842549
-41.92539206,-41.57847494,0.7334086579
-41.40872965,-41.16973041,0.7604639762
-41.98362499,-41.62201451,0.7103065589
-41.63606717,-41.31946207,0.6633267917
-41.62853254,-41.30832096,0.6611524076
-41.99,-41.51,0.95
-42.42,-41.79,0.82
-42.56,-41.92,0.85
-41.9,-41.26,0.72
-42.34,-41.87,1
-42.1,-41.62,0.91
-42.04,-41.66,1.03
-42.48,-41.82,0.99
-42.16,-41.68,0.67
-42.25,-41.87,0.92
-42.49,-41.82,0.84
-42.06,-41.59,0.76
-42.38,-41.87,1.03
-42.13,-41.47,0.74
-42.45,-41.73,0.79
-42.02,-41.64,1.03
-43.82,-42.93,0.93
-42.17,-41.56,0.73
-42.6,-41.85,0.76
-42.01,-41.45,0.74
-41.0467867127,-40.7485118213,0.9626050857
-42.1929536787,-41.7664180463,0.9734505913
-42.2867396727,-41.8262627648,1.0487386275
-42.7005037519,-42.0481700409,0.8424304293
